内容,标签
作者长篇大论借用详细报告数据处理工作和计算结果支持其新观点。为什么荷兰曾经县有欧洲最高的生产率？为什么在文化上有着深刻纽带关系的中国和日本却在经济发展上有着极大的差异？为什么英国的北美殖民地造就了经济强大的美国，而西班牙的北美殖民却造就了范后的墨西哥？……很有价值，但不包括【中国近代史专业】。,1
外观还算时尚。键盘还是巧克力型的，像苹果那种方的，键帽，平的。,2
说它不错是因为这本书上的习题与学校的教材同步。一年级的上学期孩子就想买这本书，当时感觉学校的作业量太大了，没必要再多作一些题。一年级的下学期作业开始减少，为了考试之前的复习，买了这套书。平时我们是不作的，只是在考试前作，这样可以检验孩子对知识的掌握程度，然后再针对掌握不扎实的知识点进行重点复习。,2
散热不太好，触摸板的地方开机一会儿就会烫手，当即买了的大风扇本本散热器；键盘按着没什么感觉，至于不能识别的情况还没有出现,0
有的看法是，日常生活啥都吃，吃全乎点，就可以了，不用补，没事找药丸吃干嘛，是药三分毒。我的看法是，现如今，吃到肚子里的仅仅是看起来是某种食物，真正的营养还有没有，不敢说。化肥，农药，转基因，瘦肉精，尿素，避孕药，市场里所有食物都妖艳的很。而且大家都日趋早熟，20岁有皱纹，30岁有50岁的心脏，催肥催肥，医院越来越忙不过来。为了健康，此书里提出的很多抗氧化的方案很受用。,2
版式太小了！不是很好，要是大版点就好了，不会显的杂，字也可大点不是很好吗？孩现在不是很喜欢。,0
预定的房间给的是问题房，水泵声音太吵，地段离风景点偏了点，虫子很多。,0
买蒙牛，提心吊胆，骂蒙牛，气大伤身，喝蒙牛，无异自杀，现在还得操上蒙牛怎么花钱的心，咱别这样了，多累啊。大家都不买不就得了，不喝蒙牛死不了人的，要身体结实，不要身体结石。 如今为了钱人不干的他们都干新浪收了蒙牛的钱,0
床发出吱嘎吱嘎的声音，房间隔音太差，赠送的早餐非常好吃。补充点评 2008年7月22日 ： 我们住的是度假村的标准间。,0
酒店的交通不很方便，电梯特别慢，其余还是如家特色。,2
怎么读《论语》，是于丹自己的事；这么读《论语》，是中国历史的过错；这样说《论语》，就是于丹的罪恶了。,0
的确，我不是一口气读完的，所以，我说，我用来两口气。我很少在看电影之前先看小说，这就是少有的一次。小说写的很真实，虽然作者在回忆的时候几次说他有些记不清当时是怎么一个情形的，我却记得我读每一页的感受，当我自己一边读一边流泪的时候，老公又开始笑我怎么又莫名其妙的哭了呀？我真的是抑制不住，被那份最真实的感情感动。值得买回来在一个周末安静的阅读，是一本好书。,2
马马虎虎，太过于关注片面介绍，买来看后感觉不太适合自己。同时提醒以后买书要买自己感兴趣的，要不就成了摆设。“书非借不能读也”,0
不错,2
《想吃苹果的鼠小弟》这本来自日本的童书，整体风格清新淡雅，画面大量留白，除了那几只苹果是红色的，其他都是黑白色调，人物形象廖廖数笔却活灵活现十分传神。这本书，我的女儿宽宽喜欢，当要讲到“来了只小鸟，叼走了一只苹果”时，画面还没翻到，宽宽就已经将小手挥起来学小鸟扑扇起翅膀。比较适合一岁以上宝宝阅读。,2
一直都在抵制与其抵制日货，不如抵制蒙牛。,0
其一：接挂电话时候机身的红绿键有时候不管用，还是要触摸屏幕才行；其二：没有录音功能，但是通过安装一个软件可以很好的解决这个问题，效果也还凑合。其三：天线太大也太靠边，打电话的时候不可避免的会接触耳朵或头，辐射肯定不小啊！语音效果还是不错的，耳机通话效果多数情况下也不错，就是耳机上的功能键只能用来接挂电话，不象以前用的6230还可以用来激活语音拨号，或者在听收音时候换台、在听音乐时候快进。其四：基本上一直依赖手写输入，按键太小所以在开车时候基本没法发短信了，以前用6230时候可以自如收发复杂的短信息。其五：接听电话结束后，会自动跳出一个询问是否将来电存入电话簿的对话框，很人性化，也可以选择关闭该功能。其六：经历了一次不断重起，是因为一次按了3、4个软件，然后就不断重起，后来硬起加软起才搞定，但是损失了所有数据。这时候就不能不说两个好东西。一个是同步，简单一按纽，所有数据都恢复了，上次同步前的所有数据都回来了。还一个就是backup软件，可以非常方便的备份数据到SD卡里，也同样可以非常简易的恢复手机数据。其七：这一个礼拜充了两次电，第一次用了3、4天，第2次只用了2天，基本上来说还是可以接受的。其八：数字键位置的安排，感觉是按欧洲人手掌大小设计的，反正我用起来感觉如果再向右挪一排就太顺手了。,1
外观挺漂亮的，性价比还算不错，暂时来看使用中没发现什么问题！,2
买这本书是因为受销量的影响吧。买回之后翻开一看根本不是自己想要真正别开生面的单词收，这样的书我也会写啊！,0
很好。客服和安装人员都很好,2
"价格便宜，配置不错：T4200,GL40,SAMSUNG 1G (800)。 自己加一条内存，跑起来很顺畅。 风扇声音小，整机重量可接受。",2
刚收货，还没用,2
"对于自驾游,这家酒店很合适，我们是住2号楼顶层,风景及服务都很好，下次去威海还住这家酒店!",2
缺点暂时发现了这么一些： 钢琴烤漆容易磨花 镜面屏幕反光严重 扣盖感觉不够严实 风扇声音比较烦人 装机寻找驱动麻烦 升级内存过程痛苦,0
物美价廉，老板服务态度很好！,2
书拿回去后，儿子迫不及待地打开来看。最喜欢建筑工地、飞机场、火车站这几本，总是自己拿着翻来翻去的。因为小家伙平时老是嚷嚷着要去坐飞机、坐火车什么的，让人感觉挺头疼的，这些书多少可以满足他这方面的好奇心。儿子睡觉前，我也坐下来给他读上一小段，两个人一起找一找树上的人物什么的，挺好玩的。其实阅读本来就应该是件愉快的事情。既然不能经常行万里路，那就先借别人的眼睛看一看多彩的世界吧。,2
转发表示绝不会忘记蒙牛的恶行，坚决抵制蒙牛！,0
小说：青春万岁，活动变人形，恋爱的季节，变态的季节，踌躇的季节，狂欢的季节，青狐，应该称之为自传体小说吧？是小说，人物与真实贴近，呼之欲出，似乎又担心熟人对号入坐，更怕读者不明戏，书中的谁谁谁，就是现实中的谁谁谁。传记，这该直呼其人了吧？偏偏又欲说还休，深藏不露，打哑谜，把一大群读者打入闷荫芦，乃至打了赌：谁人能将书中的事与现实挂起钩来，揭破谜底，作者还有奖呢！高手？,2
可能是主板比较特殊，很多Ghost启动光盘不能识别光驱，不过好像萝卜花园的可以识别。,0
"文章短小易读,小孩愿意翻阅,毕竟不需要花太大力气就可以把故事看完,蛮符合他们的阅读习惯和注意的集中能力.文章蛮煽情,每篇文章如此,其实作为大人,我不太喜欢,为什么要狂轰烂炸那么多赚人眼泪的故事呢?生活中还有太多的喜剧呢,即使悲情故事也需要添加些许幽默啊,自嘲啊...但是说到底是给泡在糖水里的孩子看的.要建立他们的感恩心,同情心,要他们能够珍惜当下的幸福生活,或许就需要这么多的悲情来作为对照...",1
5月初入住这家酒店，只可以用2个字形容“糟糕”，是我见过的最差的5星级，晚上1楼的disco舞厅一直会营业到凌晨2：30，声音吵杂，还有重音鼓点让住在18楼的客人也无法入睡，不可想象低楼层的客人们怎么忍受这种5星级的待遇!早餐简陋，这个也是我第一次给住过的酒店点评，实在是住得太窝囊了！如果有0分得选项，我会毫不犹豫选0分,0
前台服务态度很好很细心，但是硬件设施由于跟不上，老化。,1
"一口气看完《边城》虽然篇幅不长，故事简单，但内容却是短而精然后又想起叔本华的话：“对于人类来说最好的安慰剂就是知道你的痛苦并不特殊,有很多很多人,甚至许许多多杰出的人都像你一样忍受着同样的痛苦和不幸,忍受着这个充满虚无的人生”人经历的痛苦在过去，在现在，在将来一直存在，不同的只是载体。父辈对子孙的牵挂与关爱永远超过我们的想象他们承受着的实则是我们附加于而他们义无反顾甘愿承受的痛",1
正月初四带女儿入住横店国贸大厦，感觉很不好。一是旧。设施陈旧不堪，开水器脏兮兮的，还接触不良，烧水都害怕。空调虽然是中央空调，不能调风速，象拖拉机一样开到天亮。二是脏。地毯都不知道是什么颜色了，浴巾又黑又硬。三是不诚信。我是通过携程订的三人房，到酒店时房间还没打扫出来，这倒也正常，我们先进去洗把脸就外出游览景点了，洗脸时把自己带的毛巾和洗漱用品挂在了毛巾架上，结果酒店服务员就没给我们放三条毛巾。因为反正不会用，也没在意。第二天退房时，竟然问我们要三条破毛巾。更可气的是当天的服务员说确认放进去了的。我还耐着心致给她们解释，说要弄丢也不会三条都丢，除非我们偷了。这帮猪一样的服务员，实在太侮辱人格了。我留了电话，到现在还没接到酒店的道歉电话。,0
《台北故宫》一书是纪录片的文字化，分为几部分，如果你是先看纪录片再看书的话，会觉得前两三个部分的内容很熟悉，因为大部分在纪录片中已经看过。个人认为书中后面部分很好看，介绍了台北故宫的最有名的文物的一些小故事和一些与台北故宫有渊源的人物，比较有看头。看书介绍文物的同时，还可以配合纪录片一起看，是视觉与感受得很好的结合。如果先看书再看纪录片的话，应该会知道哪些是纪录片中重点看得内容。,2
太脏，停车场太小，建议携程不要推荐这样的旅馆,0
汽车站下来后碰到了几个酒店拉客的，喋喋不休，于是通过携程预订了这个酒店。曲阜不大，酒店在曲阜城的北关，从车站过去大概1公里左右，后来坐一个三轮车过去的。4快钱比想象中的要便宜。酒店就是80年代的镇里面的招待所的感觉，大厅黑压压的，过道中N多垃圾，没人打扫，房间里地毯黑乎乎的，房间又小。马桶里也黑乎乎的。。。。另外问前台服务员有没有曲阜直达上海大巴，均被告知不知道。结果只好预订了济南回上海的飞机，第2天早上去车站坐车去济南的时候，顺便问了下售票员说曲阜到上海的大巴有好几班，特别是下午1～3点间有好多济宁等地去上海的过路车经过的。。。但机票已经预订好了，只好返回济南再坐飞机回去的。在离酒店100多米的地方有个曲阜国际青年旅舍，看起来不错，应该挺干净的，家庭房价格也就120块，比裕隆便宜，建议下次大家去这儿住。补充点评 2008年5月2日 ： 哪儿有水果送？？？估计今年改了。,1
"根本就没法用。基本属于外在很漂亮，内在什么都不是，要是lg的手机os工程师加把劲应该是很不错的机子，除非自己有能力刷rom,否则就算了",0
给4岁的儿子买的。故事的内容很实用，上幼儿园啦，海边堆沙子城堡啦，幼儿园挨罚啦，商场走丢啦，都很切合孩子平场的行为，基本都碰到过。就是现在孩子有弟弟妹妹的情况不多。故事语言很孩子化，图片也非常生动，儿子很喜欢的。不过一本书的内容并不算多，感觉刚上幼儿园的孩子会比较适合。对4岁以上的孩子来说，稍微有些偏简单。,2
换了一部小灵通，选的627，还不错，挺漂亮的一部机子，感觉通话质量挺好的也稳定，偶尔有掉线，但是这种情况不多，在外边跑业务，电话费感觉真是省了不少，呵呵，选对了机器,1
前台和餐厅服务太差，吃早餐不能签单，房间有霉味，骚扰电话太多，房间太小，周围全是装饰市场，环境太乱。另外到哈尔滨的朋友请注意：从机场到市区的出租车计价器全有问题，显示的价格一般都要高50--100元，实际正常应该在80元左右，过路费20元，这个问题反映很强烈，也从没有人管。只要我们自己注意砍价了。,0
我给国人丢脸了，地铁出来上楼梯被一背着大包的外国壮汉挤飞了……我要多喝三鹿、蒙牛、光明、伊利，强壮起来！,2
"酒店的装修确实还不错,就是前面在修地铁,影响很大,看见这个酒店,坐车最起码还要二十分钟才能到,比较郁闷.",2
以前在这里住过感觉还不错，但是这次很差劲，以后不住在这里了。1、天黑以后到的宾馆，出了电梯以后，楼道黑黑的，都看不清楚；2、订的“豪华数码间”，但是进去以后没有找到网线，随后打电话问客房服务，被告知需要用猫，于是去找。等了大约1个半小时才拿来……第二天，又被服务员借去用了半个小时；3、结算时，楼层服务员硬说是我消费了两个“和其正”，磨了近十分钟才搞清楚，他们连自己房间配了几个都不知道！4、晚上用餐是在房间里面，因为前台押金用的现金，所以身上的现金不够支付餐费了。于是和服务员商量在房间押金里面扣，或者第二天早晨出去回来以后给支付，但是被拒绝，只好又专门出去取现，这个宾馆位置又不好，没有建行，打车来回又花去十元……总评：房间一般，服务很差，服务员业务素质很差！,1
本子不错，价格便宜，发热不大，功能齐全，完全能满足家庭娱乐和普通用处了。,2
"这个作家的书真的很一般,除非和她有交叉的经历,否则很难找到感觉.细腻是日本人的长处,但很平凡,并不动人.",1
从同事那里看到此书的20年前的版本，感觉挺好。在当当网上按作者姓名查询找到的一直缺货，后来发现这本没有“模样”的同名书，是同一出版社出版的，就抱着试试看的想法订购了一本，结果正式那一直表示“暂时缺货”的、我想订购的书。希望当当尽快完善商品信息，以方便读者订阅。书很好，相对浅显易懂地介绍了黄帝内经的核心内容。但对于初次接触这些知识的人而言，似乎需要多读几遍才能加深理解。,1
回复 尊重蒙牛的态度。希望蒙牛真正做好产品，对得起老百姓的信任。,2
好评,2
两天就要充电，不知是给的电池有问题还是待机时间太短！以前那个小灵通都没这么烦！机子速度也不快，再加上图形菜单，更慢了！游戏设计得没意思！显示屏不好看，没有朋友那个TFT的鲜艳！,0
群众的眼睛是雪亮的，这个店的服务确实奇差，可能随着溪口旅游的迅速发展，这些宾馆有些暴发户的心态吧，不知道什么是服务。早餐时，一大群服务员在入口处，就是没有一个人理你，没有餐具，非要用很大的声音，才会有一点反应，过来就要餐券，一看也没有什么吃的，干脆把餐券撕了不吃。对于我这样小时候生活在山里的人来说，溪口没什么值得来的特别价值，交通不便，从机场只能打的而且等了30分钟才有出租车，在溪口本地多半都是震耳欲聋的火三轮作为基本交通工具，稍晚一点从蒋介石母亲墓道回来就没有车（下午5点过）。我不是来旅游的，我看那些来旅游的好像以官员居多（不晓得是共产党还是国民党的），来这里可能是想向介石学习怎样两面三刀摆平军阀的本事。这个宾馆确实没什么优点，倒是出门左边的新豪门酒店吃饭不错，干净清爽，本地人也很多在这里吃饭。千万不要到溪边的饭店去吃啊，同一个菜，在一个菜谱上有两个或三个价格，你点的时候如油焖笋（18元），结帐时就是红烧笋（25元）了，你点芋艿排骨（25元），结帐时就使芋艿排骨煲（35元）了。领教了，这些溪口邻居除了把老蒋的阴险狡诈传承了下来，好像没别的了。补充点评 2007年4月8日 ： 我选的服务1分，怎么成了2分？,0
由于位置关系，一些时间不太好打到车，当然这不是酒店的错。,2
"没有使用说明,光盘里的电子说明书也没多少内容. 此外,降价了.虽然只是11元.我想再过几天我可能还会受打击的.认 了.",0
书的封面很考究漂亮，而里面的内容则更为引人入胜。花了很长时间，逐字逐句地在台灯下细细读来，情节精彩动人，却唯独品味到故事里面的一滴辛酸，这是一个孩子坎坷的心灵历程。不能说这本故事完全适合小孩子们去阅读，因为里面有血光四溅的残酷，然而正是这样的残酷，让人领略到它最贴近现实的一面。现实和童话也就只有薄薄的一层距离，透过这层距离，生活中总能看见故事中一样的白雪公主和小红帽。孩子的心是天真的，别让他们像书里的戴维一样，在爬了那么多山岭之后，只剩一份面对世界的平和。,2
三星级？夸张了，实在是夸张了！环境差，房间差，床！更差！！！服务？摇头，只能摇头！,0
待机时间长是这部机子最大的优点，带了手电筒功能，很实用。,2
"早晨8点多,已经没什么吃的,而且十元限额的.餐厅服务员态度差,我住的是158元的标间,房间很黑.很旧,下次决不住这里.旁边晋元大酒店我去看了比这好多了.",0
把玩了几天，总体感觉还不错。按键操作灵活。通话稳定，声音清晰。mp3和视频播放都很流畅自然，屏幕显示清新亮丽，效果令人满意。使用T9输入法，发短信时十分方便快捷。还有就是连接数据线就可以当Ｕ盘使用。,2
相比同样配置的本本，这款价格实在；配置较合理。功能也都实用。入手以后直接换ＸＰ系统。 烧机软件跑了一天，机器只是温热而已，让我最担心的风扇噪音几乎听不到。,2
这次虽然订的是标间，但到了以后我换了刚装修好的商务单间，还稍有点装修好的气味，估计再过几天应该没有了。房间虽然不是很大，但总体感觉不错，干净、整洁，房间内少个挂衣服的地方，已经和酒店提了意见，估计能很快解决。酒店地理位置ok，到春熙路不远。总体感觉性价比不错，值得入住。,1
这是我买的第一个本本，原本想定东芝的，但是没有货，这款宽屏的很漂亮，打开看到不是纯黑的，是有点深炫蓝的，很喜欢。装XP比较麻烦，弄了一半蓝屏了，也没有显示分区提示，还是咨询了客户才搞定了。噪音很小，不错，音质也好。,1
中左同你分，小叶子 为了牛奶~~ 我们将抽出三位幸运者，奖品是一箱蒙牛优酸乳欢迎大家参与投票,2
这是一本捡别人漏沟水的书，非常后悔买了这么一本毫无看头的书，请大家别再上当了！！！！,0
说实话，从理论上来说，别说求医就是求人也不如求己，但是，很多时候我们自己无法完成的事情，只能求助于别人，生了病，自己能够诊治，当然非常好，但是，有多少人可以完成这件事，尤其是生了比较严重的疾病的时候，不去求医，行吗？我因为身体不好，特意买了《求医不如求己》这两本书，但是，我发现实施起来对自己是有难度的，没办法，我只能一直去医院，一直去医院。还是得求医。在求医的过程当中，逐渐学到了一些医学常识，积累了一些医学常识。如此而已。,1
酒店服务态度，房间环境都不错，改了名字的原天鸿酒店现在听起来更好听了。,2
奥列伞……一个从金色种子开始发芽的世界……一方由绵羊之路抵达的乐土……一个解决童年困境的家园。黎晓曼有一个外号叫做“慢婆婆”，因为她无论做什么都比别的孩子要慢得多。她许愿得到了一个冠军遥控器，能够操纵周围的世界快进、倒退和暂停。于是，她开始了充满新奇体验的72小时……——我热切地期盼着和女儿一起在奇妙的奥列伞下亲子共读的美好时光。,2
看了这本书，拜托各位新贵族们，拜托各位小资，拜托各位中产阶级，拜托那些海归们，别再抱着所谓红酒雪茄名表普罗旺斯的草来彰显您在社会的地位和品质了。如果按照《长物志》的方式来生活，您的生活品质可真是够呛啊。所以，《长物志》，很东方，很中国，这本书为国人，为华人描绘了一幅现实生活与精神世界水乳交融的图景。由此我们知道，原来咱们的老祖宗们，可比现在那些家伙会玩多了。,2
品牌的服务真的没得挑剔！！！,2
真人真事真感情，同时代的人与事。净化心灵，公众人要有净化社会心灵的责任感。刘德华是佛教徒，喻可欣也是佛教徒，佛陀的精神拯救了二人的个人人生痛苦。精采语：刘德华悟到：“一念天堂，一念地狱。”喻可欣悟到：“心无挂碍，无挂碍故，无有恐怖”（摘录情海星空一书）此书是真情所写，一分真诚一分可贵。我喜爱此书的原因在此。我已收藏此书。,2
功能食用，触摸键设置合理。配置和价格性价比高。键盘手感相当好，笔记本上方的摄像头也很食用。总体感觉很好，建议不进行大型游戏和影响编辑的购买。系统上网，看片相当好，可能是进行了优化。操作系统是VS的，不习惯可以自己换成Xp，毕竟现在的系统盘很先进。,2
卢卡奇的哲学思想丰富、混乱，更有着极强的思辨逻辑推演，所以对他的解读不紧要看专著，像本书，更要看原著，在原著中更能体会卢卡奇的那种强烈的、火一般的革命热情和逻辑演变魅力。虽然他有着黑格尔的思辨的遗风，更有着走向纯粹思辨的顷向和嫌疑，但在他所处的历史大背景下，他的这种思想是哪些正统的所谓马克思主义者所不能匹配的。本书就是在历史的背景下对卢卡奇的正名，喜欢卢卡奇就去读。,1
散热要好于540这些机器，表面很凉。但是通过EVREST检测CPU温度一般在66-69之间，硬盘和主板的温度较正常，但是CPU就恐怖了。把SD卡放在读卡器里面居然取不出来了，明天要客服搞定。,1
"很令人无奈的一间酒店,无论哪个方面,尤其是员工的个人素质,特别是应变能力.试想一下,当夜已很深,你正准备入眠的时候,前台打来电话问,:""可否到您房间再收些押金?""你将作何感想?也许他们似乎有足够的理由.当自己用真诚换来酒店的不是尊重而是怀疑时,我一直在想,这个酒店为什么只是5星,而不是7星.它本来应该得9星的,虽然这个世界上并不存在这样完美的家园.",0
很怀疑书的质量，其中有几页居然没有页码,0
这几乎是江阴最好的酒店了，有很多老外都住在这里。房间的大小还可以，装饰和设施感觉没有五星的标准，算四星还差不多。最让人受不了的是这家的停车场，我是在一个普通的日子去的，结果还是碰上有人在宾馆结婚。地下地上都停满了赴婚宴人的车，结果我们住店的人要把车停在马路对面的很远的地方。那天还下着中雨，我车上有一个法国人、一个菲律宾人和两个中国人不得不提着行李冒着雨躲过一个又一个的水坑去宾馆大厅。门口的保安好像对这种情况已经见怪不怪了，看着我们四个人在于里跳来跳去面无表情。真是烂透了。,0
"一直认为锦江各方面质量很高,性价比好,比如在西安我总是选择锦江之星.但这个店,是我住锦江之星所获得的最差的印象地.",1
