标签,内容
1,做工不够细致，没主要表现为 启动按钮生涩 光驱合上时生涩 发热较大  外壳会粘手印
1,电池制作的太粗俗，电池上面的纸很容易掉。用电快的不得了
0,如果你是要操心老小的家庭主妇，如果你是在工作与家务之间分身乏术的工作女性，如果你是即将嫁人或刚刚嫁人却对家务缺乏信心的女性，如果你是我这种天生不善整理 房间经常乱糟糟的人（不分男女），那么，你可以把这本书放入购物车了。受到这本书的启发，我和妈妈开始整理房间的每个角落。我很感谢它，给我的家带来了变化。尤其是我，从在猪窝里心安理得，变得爱上收纳和整理，不能不说是是个奇迹。
0,"看到评价及书的介绍，我自已很喜欢。我买了三本，因为书很厚，文字很多。我担心女儿不喜欢，因为她喜欢图画书。我先拿了一本回家，打算睡前给孩子讲，结果上一年级的女儿,自已看到书后，便一发不可收拾。根本不用我讲。一口气看完一本书后.才松了一口气.还问我还有没有买其他几本.为书中最后一头战象而叹息.为被象群踩断脊骨布哈依难过.现在每天睡前都让我再给她讲一遍。直到她睡着为止。"
1,这孩子真可怜，一不小心看个电影就疯了，连蒙牛都不用喝就这么崩溃年
0,还行，就是太远了，物流走了4天
0,蒙牛赞助
0,优惠的时候买的，4249送包和杀毒软件。 感觉性价比很高，用着顺手，信赖联想大品牌。 希望能稳定耐用，也希望联想的服务不会让我失望。
1,这本书我是买来送给爸妈，听说很简单易学，所以给妈妈看，让他们了解一些基本的健身之道，这样我们在外面工作也会比较安心。妈妈正在学，听她说还不错。
0,因为介绍而感兴趣的书，题材也很喜欢——命案加悬疑加推理，赞！看后很有挫败感阿，我果然离天才有很大一段差距~~~~为了知道来龙去脉发狠把半本一口气看完，直到最后十几页真相才慢慢却强烈地剥落！作者的文笔很简练，没有多余的文墨卖弄，每一个字都是成为故事情节不可或缺的构架~~~完全没有煽情的意图，却能在末尾赚人热泪~~~我开始不禁要想，为了所爱的人，我可以以及愿意牺牲什么呢？
0,我很喜欢这本书的封面设计，看上去就有一种西藏文化的神秘感与沧桑感。内容看上去有些晦涩，全书都有关于性爱的描写，不同的人、不同的时间、不同的地点都有，啥子事从这种经历开始聪明的转变，看一遍可能无法理解作者究竟要说些什么，我还是对一些内容不是很了解，可能与对西藏文化的不了解有关系。书中还间接的有些西藏与中原关系的历史，也许就是这种历史关系，才导致今天达赖与政府关系的对立把！总之复杂！
0,今天的天气再配上蒙牛冰工厂的广告，那叫一个美
1,很差，去到餐厅后发现什么也没有，当初在携程预定时所谓的双早根本没兑现，我们几位连早餐都没吃就结账走了，这个宾馆太需要改进了！
0,和小妹一直聊到现在。问她晚上睡前喝奶吗？最近喜欢喝蒙牛酸酸乳。问平时都吃什么啊，她说：不告诉你，你好给我买了。怎么那么喜欢她啊，好可爱的小姑娘
1,"It's not as interesting as I expected.Maybe for the child, it is much more suitable.In fact, there are not a lot of useful tips in the book.A lot of mistakes listed by the writer is related with wrong spelling.To me,it's not really funny."
1,1、电池超级垃圾！待机时间根本不象宣传的那样能待机290个小时，最多2天就完了，而且你还不能通话，要通话待机时间更少！2、外型看着还可以，外壳的做工粗糙，后盖打开时必须有空手道3段的力量才行！3、内存太小，而且不支持扩展！简直就是给你块天鹅肉告诉你只能看不能吃一样！4、客服超级垃圾！
0,个人觉得这本书是作者对之前的书的提炼，总结。看完之后就知道了财商究竟是怎么回事。财商是几种能力的结合，它们是不可分割的，而不是莫一种能力。看完后你会对你的生活状况和接下来做什么有一个清楚的目标。如果你不满意你现在的生活，你想改变，那么提高你的财商就很重要了。从学习开始改变吧。希望和更多富爸爸粉丝交流！QQ：383161223（注明：当当）
1,"建筑较老,房间内饰一般.属于地方典型的老式3星饭店.门卡经常失灵.特别是服务上还没有形成为宾客服务的理念.当门卡无法开门去前台做卡时,刚对饭店提出意见.让人无法相信的是前台的服务人员竟然说""谁让你们总是一天一天的延住的!"" -事实上在前一天刚刚续住了3天.这样的服务态度也就是在N年前某县的招待所遇见过.对于省会的五星级酒店实在是无法评价.结果是和前台吵了一架.搬出了这个酒店.性价比上(价格和房间的内饰)远远比不上中振和华庭.当然如果对房价没有要求的话还是世贸比较好."
0,第二次买了，很满意，全5分
1,1.不支持主流的MP3铃声。2.反应速度太慢。3.内置的金山词霸其词汇量也太少吧！4.电池续航能力不理想。5.机身总内存容量仅有2MB。
1,我不太懂电脑，别人帮忙装的系统，听说比较难装，另外就是用一会，就很热了。电源也很容易发热
1,粗略翻了一遍，同事也借去看了一下，我们的感觉是这本书写得比较乱，很难看下去。而且里面描述得比较粗，不太实用，也没什么意思。
1,看了大家的评论后买的，可书拿回来后孩子不太感兴趣，给他讲也是总心不在焉，等他大点再看吧。
1,才三成，看来舆论的力量不够大呀… #快消头条# 蒙牛负面报道致销量下滑三成？
0,一次偶然的机会让我看到这本书，这让我这个非常怕进医院的人眼前一亮，这里一再提起的现象不就是我们常说的有毛病，医院的各种机器又查不出来的“亚健康”吗！我也想通自己的手来医好我和周边亲人、朋友的“亚健康”，于是我通过“当当网”买了一套，看后非常喜欢，于是又买了若干本送给朋友和长辈，相信他们也一定象我一样喜欢这本书。
1,装了电池管理的那个不开效果最佳会有些卡~~~而且我买了不到3天就降了200~~~哭了~~~
1,评个鸟~~~~~订了三次投诉两次都没给我送过来，连书长什么样子都还不知道！每次投诉就只会说对不起，根本就没给我解决问题，没书又不说，就直接给寄其他的过来，前后都三个月了，一共订了几次，算了，不订了。
1,电池后该处有一处卡扣没有卡进去，被我使劲按进去了。 本本扣盖后，扣得不是非常齐，从侧面看右边悬空，不知是上板不平，还是下板。
0,书里的每个故事都很能给人以感动。是否能被触痛的 就因人而异了。里面的故事大多数都是存在的。通过了解别人的经历相信也对自己帮助很大。爱情也是门艺术，看这本书感觉让我更好的了解什么是爱情。本人很喜欢《意林》，记得第一次买是因为高三语文老师推荐的。此后就喜欢上了，距今有3年了，几乎每期都买。当当网 就是我给意林杂志社打电话说想买这本书，然后经他们推荐的。呵呵真心希望 《意林》越办越好!!!
0,这本书我现在推荐给我同学在看，他跟我说这本书还是很有价值的，比如它强调的一些关于钱的只是都是我们平时不太注意甚至不懂得概念，很肯定这本书会影响很多人的理财及人生。向这本书作者致敬
0,1、外观大方，整体做工不错；2、待机时间超长；3、百万像素的拍照功能，效果还不错，64和弦铃声的表现令人满意；4、配合红外线和数据线使用，和PC数据交换非常方便。
1,"看不下去的书.给朋友们看,都不知好在哪里."
0,thinkpad品牌号召力是非常好的，联想收购了ibm pc部门后把商务机的研发全放在thinkpad品牌上了。专业的就是好！
1,差劲呀，还市中心的酒店呢，上网还要另外接线，４块钱一小时，抢钱啊！！！！！
1,告知所有的朋友，这个酒店，简直就是一个黑店 1，一楼大堂吃饭，白水5块一杯。2。小卖部里的东西，市场5-8倍。3，深夜12点有色情电话。转天问服务员，他们说是一楼的美发，和他们没关系。奉劝各位千万不要入住。
0,书中给我们展现的是非常完美的爱情故事，随着故事情节的发展，我也心中甜蜜，酸楚，失落，幸福。在看书的过程是使自己也在爱一次的过程。我们的生活中也需要激情，在小说当中会找到我们也曾有过的恋爱的感觉。当自己对幸福迷茫的时候，就会想到，不要将自己手中的幸福随便就放掉，那样，当自己发现那是你的最爱时，已经找不回来了。学会爱，抓住爱，把握爱，珍惜爱，那就会有幸福。
1,键盘反应很慢，外壳也很软
1,每次中途休息都会住在这，不是因为这家酒店有多好，主要是上下高速比较方便。房间一般，餐厅饭菜比较差。
1,特价房环境非常不好，只有一扇非常小的气窗通向宾馆过道，有点象住在地下室的感觉。房间下水道还往上翻难闻的臭气。请慎重选择此宾馆。
1,"我还以为很搞笑,买来才发现也不怎么样啊"
1,她是不可多得的成功的传媒人士为什么一定要写15字？对这本书来讲，没什么可写的哇？？
0,"国际酒店一向都是很好,住过很多四星酒店,我一直最满意的. 房价是很合理,除了牙刷洗发露,肥皂品质很好,房间视野很好,装饰和色调非常清爽,在工作忙碌中回到这家酒店的房间就感觉很舒服. 最近酒店换了新款式的牙刷感觉不是很好. 50楼的旋转餐厅也是观景很好,四楼酒吧有卖雪茄,二楼西餐有正中乳酪, 免费停车. 所有服务人员都很专业而且态度很好. 我外国人长住在中国已有10年了,除了牙刷,感觉是最好的酒店."
1,小资写的，蛮恶心的。我喜欢自我的人生，而不是刻意的迎合别人
1,要是送个鼠标就好了。另外2个小时后，触摸板右边温度有点高，由于没仪器也没测量。
1,最恨的就是你这种坏了一锅粥的！蒙牛
0,这个价位的15.4寸屏幕性价比较高。送货也很快，我是江西九江的，前后两天就到了。
0,"1号刚去过.酒店很旧海景别墅是木板地很响,白天房间很晒空调又不太制冷.到处是蚊子.餐厅好难吃.服务员太度很好.看海很美,离海很进就是沙滩很不好太脏比三亚差太多"
1,还来？ 别骗人了 做人如做事。抵制蒙牛和抵制牛根生相关的其他产业可以同时进行，并不冲突！ 回复 貌似蒙牛被中粮全部控股了吧，不管牛根生什么事吧？
1,看了当当的推荐和网评，于是下决心买来看看，看过后发现并没有想象中的那么有趣，有时还觉得很幼稚，不知道我他真的不令我满意还是我不懂韩国式的幽默！
1,接口太过分散，前后左右都有。右下底部散热不是很好，扩展坞的接口没有盖子盖住。
1,散热不怎么好，还有系统实在是。。。。。！！为啥要是vista呢！！！！！
0,蒙牛公司用人制度，有德有才，破格重用(极品）；有德无才，培养在用（半成品）；无德有才，限制使用（毒品）；无德无才，坚决不用（废品）@首脑吕海锋
1,抵制蒙牛！！
0,N多年前在上海看《琥珀》，不知道它是廖一梅的，因为有影帝（刘烨）和美女盖住了她的光芒。去年在话剧中心看《恋爱的犀牛》，被一群黄牛围堵，才知道原来她的话剧那么红。这是一本不错的书，记得书中的很多细节，比方说关于男人变老和变成熟，比方说关于美感实不实用，比方说引用的《两只狗的生活意见》里关于门的台词。
1,"指纹太郁闷了......,刷卡不给开增票,不知道怎么解释,刷卡之前没说明,刷完了才说,我订单上明明写着开增票的"
0,TM的机器发热控制要比家用的好，价格方面也很不错，这个价位这个配置，只能用超值来形容
1,我不是很受别人影响的人，也不是此书最热的时候买的，，事实上我也不知道此书，在当当最近遇到之前，只因为看到它有这么多的评论，才买了它。读了的感受，后悔。没有什么实质的内容，个人的小感受罢了，并不典型，也不经典，而且，他的公司也不是前沿的公司，，，不知道别人怎么读的，评论的，，没买的，不买也罢，，当然，也不知道当当的推荐是怎么推荐的。
1,喜欢的话买其中的一本看就好了浪费时间
1,隔音太差，好像开着窗户一样。吵的没法睡。再出差不敢住这里了房间设施还可以，床上被褥很干净
0,要不是打半折而且是买生日活动礼品，我才不会买这么贵的牛奶。原价98一箱，居然只有8瓶！虽然味道确实还不错～至于身为孕妇还敢喝蒙牛，我想说，反正光明伊利也都喝过了，不差这一个。
0,第二次都买了，一如既往。款式跟照片的一样，好用加热也挺快的啊，冬天的好帮手，卖家服务好发货快、很满意的网购，全五分啦，下次需要还过来你店里购买啊，(*^__^*) 嘻嘻&hellip;&hellip;
1,没有SLIC证书，无法激活Vista，不知道各位高手能否解决？ USB接口比较少。 附送内容少，除了电脑，电源，一张驱动盘（还仅支持Vista，XP还不能用）。
0,中国古代诗词由于用语都比较含畜、精炼，欣赏起来需要安安静静的环境，而作为它们的载体，一本书的印刷、装订质量的好坏，相对于其他类型的书而言，更会对读者产生更直接的影响。这本书真的只能用精致两个字来形容，如果改版的时候再适当配以精美的插图，那就简直可以说是完美的。另外：惊喜的发现这本书的页码居然是仿古形式的汉字，更添了一种古香古色的美，实在是好！
1,文字可开悟，行事太矫情。影响好感。
1,很一般，不是近几年的。审美也有时间性的，色彩，表现方式都不如近几年作品好。
1,用起来还不错，本人还有几张2000-100 1000-50 东券要的加qq 673946022
1,酸奶就酸奶，还成长牛奶？！哀家又被骗了。#蒙牛坑爹#
1,可能是因为国情不同，也可能是对这本书的期望过高，所以粗粗翻了下内容后感觉挺捻，教条太多！理论较强！
1,觉得相当没意思的一本书。不伦不类的。看的时候很纠结，看完以后一点儿印象也没有。语言无趣，人物更无趣。很后悔买了它。
0,外观好，，，做工不错，键盘手感好，应该是sony一贯的作风吧，，，
0,热水器很好，是正品，来的美的的工人给安装的。很好
0,很好巧，质量和散热都做得非常好，现在购买价格也相对比较合适了
1,"太幼稚了.整本书除了有“大卫,不可以”这几个字.就什么字也没有。对小孩和家长一点帮助也没有．浪费钱．"
0,性价比高，led屏幕，西数的硬盘，ddr3的内存，装系统的时候也没有太大问题。使用起来非常舒适。散热较别人的hp好得多，噪音也小。
1,满怀憧憬的看这本书，看到最后，也没有想象的那么震撼，那么泪流满面。作者的文笔很差，很初级，叙述让人不能产生情感的共鸣，建议他多学习那些名作品，同样写文革，请看看余华是怎么写的，同样写爱情，请看看琼瑶阿姨怎么描述的还有我觉得，这篇史上最纯洁的爱情，太名不副实。艾米你以为单纯的描写男女主角不发生关系，就是纯洁了？？？？看来你对爱情的理解还太浅薄
1,服务不则么样，太旧，旋转餐厅不转的，早餐的服务员好像我欠了他们钱一样，很差
0,看完这本书后我最想知道的就是谁才是我的那五个人？后来转念一想，我是永远猜不到的。也许人生就是这样吧，我们往往无法注意到一些在我们生命中起到至关作用的一些人或事。又或许，我们埋怨，颓废，却总是忽略了生命本身的价值。在看完这本书后，在我看来，那就是过好每一天。
0,系统很好装，LED屏是不错，就是16比9的比例看起来比较长，是14.0的屏。外观比较酷，适合年轻人，键盘模仿SONY的，还不错。
1,到货后，屏幕内有异物！！是异物！不是黑点！与dell报修说是要3周才可以更换或者找经销商，上门去京东总部售后，经过售后和dell确认情况后却要我自己和dell联系，京东不能更换。
0,性价比不用说了，4455买的，配置也比较正常些，工作娱乐看电影玩些弱3D游戏都OK。键盘是个亮点，击键幅度小，没什么声音，打字手感不错。不过那键盘容易进灰，所以建议宏友们都去买个键盘膜，现在已经有4736G专用的。
1,唉！这个酒店真是让我失望！！！上次住就感觉不好，这次去发现床上竟然有JB毛儿！不说什么了，希望携程努力控制酒店的档次！
0,对蒙牛有利吧？
1,让我失望的一本小说，内容牵强，故作悬念。
1,这本书对提高英语水平没什么用处的~！
1,图了离火车站近，不能太苛求。不过即使再住一定要住新楼。老楼好像属于文物一类，伪满时期建的？整体阴暗、楼道曲折、房间狭小、服务恶劣、还有骚扰电话。
0,"两岁的儿子特别喜欢车,尤其是火车，于是在朋友推荐下我买了一套。没想到孩子特别喜欢，尤其是第一本《轱辘轱辘转》，天天睡觉前都要把书抱到床上看。他会不停的问我“这是什么车？”，“这是什么车？”。现在已经把第一本书都翻烂了。走在路上，看到车时，他会非常兴奋的告诉我“妈妈，水泥搅拌车！”。书中各种各样的车，给了孩子很多想像的空间，而且这是我第一次在当当上买书就非常的成功，不错，下次还来。"
0,恭喜蒙牛终于超越了我当年的成就！早日康复，重返绿茵！
0,蒙牛客服太牛了……我刚发完一条带“蒙牛”的微博，就问我有什么能帮助的……佩服佩服……
0,1. 这本书对王守仁的思想做了很全面系统的介绍和评价。2. 指出了守仁进步的一面和局限3. 对后世批判守仁也做了全面的介绍和解析4. 当年明月对王守仁的思想理解有些偏差，王守仁同样讲“去人欲”，不可不详细研读5. 无论后世怎样评价王守仁，都无法掩盖一代牛人的光芒。6. 至于对守仁的批判，作为学者的他，若地下有知，必然欣喜。
1,"没什么特别的内容,跟其它同类书一样,而且都是些常识类的,我半个小时就看完了,可见期内容很空洞"
0,外观简洁大方 配置均衡 各种随机软件易用性很强 说明书介绍很清楚
1,自已没文化吧。受不了高文化的东西。
0,看这本书前心情还蛮好的，当慢慢进入到悲伤逆流成河当中时，心情也变成了阴天，用了一个晚上看完了这书，书中所写和现实蛮像的，小四把现实写进了小说，在现实生活中不缺少像唐小米那样的人，让人狠的牙痒痒的，女主人翁易遥的故事，让人觉得她真的很可怜，我觉得不好的事情全部找上了她，所以她选择了跳楼自杀。推荐大家去看这部小说，温馨提示：看这小说，你可能会哭，所以旁边准备一些纸巾好拉。
1,"周围环境差,房间设施陈旧.房间小.服务员懒散.去餐厅很不方便,路线复杂.早餐贵,而且没有什么可以选择的种类."
1,XP的驱动很难搞，最后找齐了，可惜声卡一直不大好，驱动换了几个还是有破音现象.....
0,称作4星，有点牵强，不过酒店下面的朝鲜料理还可以，还有歌舞，的确不错。想感受一下朝鲜风格，还是可以一试的。
0,高二，我第一次看红楼。迷糊中看完整部，记得看完后，跟妈妈说，黛玉最后还是死了。后来大学暑假，我又断续的看，完整的又看了一遍，不完整的看了几遍。每一遍的看，都有新的感受。而这次看的西岭雪的【红楼解析】，让我从另外一个层面，更爱红楼了。西岭雪的许多观点，着实都是我未想过的，所以感觉挺新鲜的。所以愈发不可收拾的一口气看完了。看完的感觉，非常饱，就像品尝了一顿丰盛的大餐，愉悦至极。
0,价格便宜，性能强，设计简约大方，屏幕很舒服，总之总之 我买过4个本本 这个绝对是性价比最高的，超级高！！！！！
0,不过，对于一些阴谋论调，将信将疑，网上一搜，大家议论纷纷，我想写的最详尽的当属天涯的这篇了吧http://cache.tianya.cn/publicforum/content/develop/1/140524.shtml学术争鸣是好事，不过回头想想，这本书的确有点小说版的正史
0,在早教中心，老师也给孩子讲这个系列书籍，于是我本打算买全套，可总是没货，我只好先买了这4本，儿子拿到手，欢天喜地的不得了，由于孩子爱哭，我特意先给他讲了“我不哭”，哎，还真不错，每当儿子一哭，我就拿书里的故事说给儿子听，儿子马上就不哭。我觉得很值得，在引导孩子的行为举止上，比一百遍的说教强多了。孩子就是喜欢动物哦！顺便说说我儿子一岁八个月。我觉得这套书值得孩子看！
0,我买了一部1470元（单电单充），总体感觉可以，功能很全。听筒声音不小，图片、铃声、短信提示音、按键音（5个）不少。
0,安装很到位，自购管材，一分钱未收，
1,1.4096的STN屏，128*128的分辨率，感觉整个画面在阳光下看时几乎看不太清，颜色也较暗2.圆弧形的外观感觉不像索爱的其他型号抢眼3.功能杆处特别爱进灰尘4.没有自动开关机功能，有些遗憾5.不透明的按键可能不耐磨，那时可就太难看了
0,1.高硬度的塑料翻盖不仅具备较佳的耐磨性，对“脆弱”的触摸屏也起了很好的保护作用
1,电视看看，也就罢了，内容其实与我们平常所了解的没有多大区别了。
1,看了这本书觉得并不如想象中 那么好，只是宣传的好罢了！书还是要亲自看看才知道内容如果，不能单凭排行榜或者别人的评论。
1,完全没有我想象中的好。也许这本书更适合2岁以下幼儿。超大超重超精装的一本书。没什么实质内容，就几页纸，还挺贵。这样的书不值得一看再看，做个简包装，卖个便宜的价格就好了。
1,我感觉这本书性价比很不高！不是很喜欢，孩子也不是很喜欢，总是那一句不可以，什么内容都没有
1,"刚刚收到书5分钟,就跑来反馈了,真好玩,书宽宽大大的,封面那些个傻忽忽的猫,挺逗的,没顾上翻看呢,嘿嘿,看完和大家分享去!!!拉拉"
1,"非常不好,房间的装修太旧,就像90年代的感觉.入住的168的所谓豪华标准间,只能说普通标准间罢了,老公睡觉起来?"
1,1、内存要是2G 的就好了， 2、硬盘分区不合理，系统盘220G，  然后一个盘9.5G，一个盘1.5G ，这样分区是什么意思？    要想重新分区得去售后还是？
0,机器声音很小，LED屏幕也很亮，自己加了一条2G DDR667的内存没想到也能组成双通道～散热还不错。
0,听说这本书写的很好，拿到之后，简单翻了一下目录，就发现了平时的饮食习惯真的是有点问题，里面所讲的生活饮食点滴，照做之后，这两周果然比之前的气色都好多了，父母还做了固元膏，现在坚持每天食用，食疗是最好的保健治病的方法，我也在给朋友推荐很多饮食注意的问题。哈哈，大家还觉得我懂的多，其实都是这本书上学来的。想不生病，就看看这本书吧。真的很不错！
0,“人类千万年的历史，最为珍贵的不是令人炫目的科技，不是浩瀚的大师们的经典著作，不是政客们天花乱坠的演讲，而是实现了对统治者的驯服，实现了把他们关在笼子里的梦想。因为只有驯服了他们，把他们关起来，才不会害人。我现在就是站在笼子里向你们讲话。” ------小布什
1,1、光驱读盘声音有点大； 2、总体感觉不如以前的IBM了； 3、后面少装了一颗螺丝
0,说实在的，如果您是一位经济学老师，我想这本书对你真的很有用处，因为它的例子紧密联系生活，生动有趣，可以活跃您课堂的气氛。如果您是位刚开始接触经济学的大学生，它能让您更快体会到学习经济学的乐趣，引领您入门。所以以上这两种人都推荐购买。毕竟从成本效益管来看，这书值得您购买。可是如果您曾经学过经济学，而且成绩还不错，又有一定的社会、生活经验，那么这本书对您来说有些浅，不推荐。
0,"小巧好看,特别是针对女性用户推出特别功能很有人情味,功能简单使用,是比较适合女性使用的一款手机"
1,是收到“推荐”的迷惑买的。一看就没什么内容，太忽悠人了吧。还不如在网上搜点相关文章看。
1,里面写的内容一点也不实用，对如何引导孩子朗读一点帮助也没有。
1,竟然我的静音按钮的背光不亮了，才买了10多天，不知道能不能换（今天是第15天，要看京东怎么说啦，hoho）。。。 机子做工还是不够细致，和thinkpad差距，嘿嘿，很大。
0,"以前曾多次入住瀛洲酒店, 这次的早餐质量和选择的品种比原来有所提高."
0,服务值得褒奖，是见过的国营酒店里最好的，尤其是行政楼层长兴阁，贴心的服务，精致的点心，无线上网，免费的下午茶，感觉很惬意，尤其是服务员的素质，蔡雪妹妹的微笑实在让人难忘。大堂吧也不错。行政楼层1030一晚，含免费下午茶（长兴阁），每天免费洗烫4件衣服，免费享用4瓶小冰箱饮料，含早餐。性价比相当不错。好话说了这么多，批评一下：主楼和世纪楼的中餐厅真的很烂，据说是外包的，生意非常火，每天都是婚宴，要吃饭必须定位，否则排队吓死人。住了一个星期，两个中餐厅分别等到机会吃了一把，差点没被气晕过去。素质和环境和酒店本身相差太远，吵闹，难吃，奇贵无比，拿着红酒杯倒啤酒，拿着洋酒杯到红酒，厉害！服务员素质也不到位，和外面马路餐厅相当。酒店里两家中餐厅外包，天上人间也总会外包，都极差。日本料理店东西不新鲜，早餐每天都一样，只有鸡肉粥换成鱼片粥，呵呵，吃顿早饭吗，不用那么挑剔，也罢。4楼健身不错，很全，保健按摩很专业。总体来说，性价比不错，切记只选酒店自有的服务，准没错，外包的别再尝试了，只会影响心情。
1,"都说原著比电影好看, 可是色戒除外!"
0,小海狸的书儿子看到后就很喜欢。那天中午我放在沙发边的桌上，想着儿子放学时就会发现“礼物”。果然，他看到了，而且一口气就看了好几本（他在电话里兴奋的告诉我，而且对我说谢谢）。在接下去的几天里，他自己看，有时也要求爸爸或我给他讲。我们有时也请他讲给我们听。很快乐的时光。甚至于周末去小哥哥家玩，他也要求带这套书去。。。。。
0,还没安装，包装的挺结实，产品看起来也可以。
1,图太乱了 有点看不懂重点  讲故事的时候很难让孩子集中 图画和字能够规则一些更好些
1,"首先,它的滑盖技术确实没有三星的好,滑闭的时候,两个部分有明显的间隙,不是很紧,有点松动的感觉,这我在手机店的时候就注意到了,觉得不会有什么大碍。再者,扩展卡(我的是SD)上的MP3不能作为铃声。第三,手机自定义的短信铃声有点小,在稍吵一点的街上就很难注意到(来电铃声是不是也是这样,还没有看出来,因为我也才用了两天,并且走在街上时,没人恰好给我来电话)。"
1,这本书是和那本“别叫我英文单词书”一起买的，收到后单封面就看出高低了，翻翻内容和版面设计，这本书真的太一般了只能说，一直放着没有读的欲望，到现在也没翻出10页；内容有一些不太专业，不值得看个人感觉
1,个人觉得这本书很一般，没有别人说的那么好，那么神奇。很多东西都在网上看过，她只不过做了个总结罢了。。
1,鞋撑在云南的协议酒店少得可怜，应该下大力气多做些工作，把如家的店子也到处开一开，要不然我们这些鞋撑依赖症患者都找不到住的地方啦。和当地大多数酒店一样，上网在这里是很奢侈的，非要住商务间才有的。订房的时候鞋撑说不能刷卡，到前台却是可以刷的，还比较方便。房间里就很一般，热水是几乎没有，害得阮一家人两天没法洗澡。早餐极差，不论稀饭干饭炒饭煮饭，只要有米的地方就一定有沙子。电梯有时候停运，不晓得什么原因。楼下有超市，环境一般。可走路到洱海公园或明珠广场，都不算太远。打车到机场约40元，到大理古城一带需要大约35元。大理的出租车在城内打表，出城议价，斩客现象严重。从开发区到下关市中心人民广场一带才6块钱，刚出起步价。服务水平有待提高，退房时说不见了卫生间里纸筒里的卷纸轴，非要问阮是不是给拿走了，NND，有谁会对他们的那个烂东西感兴趣的。建议要在大理住酒店的朋友，开发区这边的酒店有很多，看起来还不错。头一晚在这里歇歇脚，然后自己再去找住的地方也可以的。
1,蒙牛特仑苏是不是有问题？每喝一次都拉肚子其他牌子牛奶喝了就没事~
1,速度慢，修了两次．正准备换．
1,没有发现无线网卡开关，另外屏幕下面的asus的logo发热量惊人，开机不到十分钟就很烫手！
1,电话不好查
0,"1、此款手机外形比较时尚，为双色套色。大小、重量比较适合男士及不是太娇小之女士使用。2、手机屏幕亮度好。6万5千色的TFT屏幕还是比较细腻，基本没有颗粒感。此款手机又设计为一定时间后屏幕变暗，而不是黑屏，个人认为此为一亮点。3、键盘设计个人比较喜欢，蓝色包着键盘数字，很是漂亮。功能区设计为半圆形，美观、大方且方便使用。4、手机铃声较大，不会漏接电话，且支持人声；通话音量大，嘈杂的地方也能听清；录音有选项，可将录音作为来电铃声，比较个性化。我就使用了3个这种录音铃声作为来电铃声，回头率很高。5、闹铃可设置两组，对于我这种需要早晨、中午叫的人刚合适。6、电话簿可按姓名、号码、位置、分组进行查询，比较方便，手机与卡之间可相互复制。7、通话中有一选项，可记载电话号码，做简单的数字记录。8、手机可存储短信40条，卡15条，可互相转存。短信量不太大的用户基本够用了。9、31万象素的摄像头可180度旋转，10倍变焦，10级亮度。拍照没有后滞现象。10、功能较全，除掌中宽带，联通业务全部支持，包括定位之星。容量在4MB左右。11、图片可显示的格式有：png,bmp,wbmp,gif,jpeg。可设为背景的图片格式有：bmp,png,jpeg，可设为休眠、来电、开、关机时的画面；铃声的格式有：qcp（语音）,mid,mmf."
1,图太乱了 有点看不懂重点  讲故事的时候很难让孩子集中 图画和字能够规则一些更好些
0,配置相对于价格还不错了，自带的LUIX系统一点用都没，还好我同事是电脑高手，半个多小时搞定XP
0,好文章是品出来的，在多次阅读过程中，发现这确是一本极富创新的理论新著。里面涉及应用的批评方法是我们做文本批评极好的范例。
